stm32_time_ms;d6t_temp_c;ds18b20_temp_c;motor_ud_v;motor_uq_v;motor_speed_mech_rpm;motor_id_a;motor_iq_a
78047;24.8;26.25;0.000;0.000;0.000;0.000;0.000
78147;24.8;26.25;0.000;0.000;0.000;0.000;0.000
78247;24.8;26.25;0.000;0.000;0.000;0.000;0.000
78347;24.9;26.25;0.000;0.000;0.000;0.000;0.000
78447;24.9;26.25;0.000;0.000;0.000;0.000;0.000
78547;24.9;26.25;0.000;0.000;0.000;0.000;0.000
78647;24.9;26.25;0.000;0.000;0.000;0.000;0.000
78747;24.9;26.25;0.000;0.000;0.000;0.000;0.000
78847;24.9;26.25;0.000;0.000;0.000;0.000;0.000
78947;24.9;26.25;0.000;0.000;0.000;0.000;0.000
79047;24.9;26.25;0.000;0.000;0.000;0.000;0.000
79147;24.9;26.25;0.000;0.000;0.000;0.000;0.000
79247;24.9;26.25;0.000;0.000;0.000;0.000;0.000
79347;24.9;26.25;0.000;0.000;0.000;0.000;0.000
79447;24.9;26.25;0.000;0.000;0.000;0.000;0.000
79547;24.8;26.25;0.000;0.000;0.000;0.000;0.000
79647;24.8;26.25;0.000;0.000;0.000;0.000;0.000
79747;24.8;26.25;0.000;0.000;0.000;0.000;0.000
79847;24.9;26.25;0.000;0.000;0.000;0.000;0.000
79947;24.9;26.25;0.000;0.000;0.000;0.000;0.000
80047;24.9;26.25;0.000;0.000;0.000;0.000;0.000
80147;24.9;26.25;0.000;0.000;0.000;0.000;0.000
80247;24.9;26.25;0.000;0.000;0.000;0.000;0.000
80347;24.8;26.25;0.000;0.000;0.000;0.000;0.000
80447;24.8;26.25;0.000;0.000;0.000;0.000;0.000
80547;24.9;26.25;0.000;0.000;0.000;0.000;0.000
80647;24.9;26.25;0.000;0.000;0.000;0.000;0.000
80747;24.9;26.25;0.000;0.000;0.000;0.000;0.000
80847;24.9;26.25;0.000;0.000;0.000;0.000;0.000
80947;24.9;26.25;0.000;0.000;0.000;0.000;0.000
81047;24.9;26.25;0.000;0.000;0.000;0.000;0.000
81147;24.9;26.25;0.000;0.000;0.000;0.000;0.000
81247;24.9;26.25;0.000;0.000;0.000;0.000;0.000
81347;24.9;26.25;0.000;0.000;0.000;0.000;0.000
81447;24.9;26.25;0.000;0.000;0.000;0.000;0.000
81547;24.9;26.25;0.000;0.000;0.000;0.000;0.000
81647;24.9;26.25;0.000;0.000;0.000;0.000;0.000
81747;24.9;26.25;0.000;0.000;0.000;0.000;0.000
81847;24.9;26.25;0.000;0.000;0.000;0.000;0.000
81947;24.9;26.25;0.000;0.000;0.000;0.000;0.000
82047;24.9;26.25;0.000;0.000;0.000;0.000;0.000
82147;24.9;26.25;0.000;0.000;0.000;0.000;0.000
82247;24.9;26.25;0.000;0.000;0.000;0.000;0.000
82347;24.8;26.25;0.000;0.000;0.000;0.000;0.000
82447;24.8;26.25;0.000;0.000;0.000;0.000;0.000
82547;24.7;26.25;0.000;0.000;0.000;0.000;0.000
82647;24.7;26.25;0.000;0.000;0.000;0.000;0.000
82747;24.7;26.25;0.000;0.000;0.000;0.000;0.000
82847;24.8;26.25;0.000;0.000;0.000;0.000;0.000
82947;24.8;26.25;0.000;0.000;0.000;0.000;0.000
83047;24.9;26.25;0.000;0.000;0.000;0.000;0.000
83147;24.9;26.25;0.000;0.000;0.000;0.000;0.000
83247;24.9;26.25;0.000;0.000;0.000;0.000;0.000
83347;24.9;26.25;0.000;0.000;0.000;0.000;0.000
83447;24.9;26.25;0.000;0.000;0.000;0.000;0.000
83547;24.8;26.25;0.000;0.000;0.000;0.000;0.000
83647;24.8;26.25;0.000;0.000;0.000;0.000;0.000
83747;24.8;26.25;0.000;0.000;0.000;0.000;0.000
83847;24.8;26.25;0.000;0.000;0.000;0.000;0.000
83947;24.8;26.25;0.000;0.000;0.000;0.000;0.000
84047;24.9;26.25;0.000;0.000;0.000;0.000;0.000
84147;24.9;26.25;0.000;0.000;0.000;0.000;0.000
84247;24.9;26.25;0.000;0.000;0.000;0.000;0.000
84347;24.9;26.25;0.000;0.000;0.000;0.000;0.000
84447;24.9;26.25;0.000;0.000;0.000;0.000;0.000
84547;24.9;26.25;0.000;0.000;0.000;0.000;0.000
84647;24.9;26.25;0.000;0.000;0.000;0.000;0.000
84747;24.9;26.25;0.000;0.000;0.000;0.000;0.000
84847;24.9;26.25;0.000;0.000;0.000;0.000;0.000
84947;24.9;26.25;0.000;0.000;0.000;0.000;0.000
85047;24.9;26.25;0.000;0.000;0.000;0.000;0.000
85147;24.9;26.25;0.000;0.000;0.000;0.000;0.000
85247;24.9;26.25;0.000;0.000;0.000;0.000;0.000
85347;24.9;26.25;0.000;0.000;0.000;0.000;0.000
85447;24.9;26.25;0.000;0.000;0.000;0.000;0.000
85547;24.9;26.25;0.000;0.000;0.000;0.000;0.000
85647;24.9;26.25;0.000;0.000;0.000;0.000;0.000
85747;24.9;26.25;0.000;0.000;0.000;0.000;0.000
85847;24.9;26.25;0.000;0.000;0.000;0.000;0.000
85947;24.9;26.25;0.000;0.000;0.000;0.000;0.000
86047;25.0;26.25;0.000;0.000;0.000;0.000;0.000
86147;25.0;26.25;0.000;0.000;0.000;0.000;0.000
86247;25.0;26.25;0.000;0.000;0.000;0.000;0.000
86347;25.0;26.25;0.000;0.000;0.000;0.000;0.000
86447;25.0;26.25;0.000;0.000;0.000;0.000;0.000
86547;25.0;26.25;0.000;0.000;0.000;0.000;0.000
86647;25.0;26.25;0.000;0.000;0.000;0.000;0.000
86747;25.0;26.25;0.000;0.000;0.000;0.000;0.000
86847;25.0;26.25;0.000;0.000;0.000;0.000;0.000
86947;25.0;26.25;0.000;0.000;0.000;0.000;0.000
87047;24.9;26.25;0.000;0.000;0.000;0.000;0.000
87147;24.9;26.25;0.000;0.000;0.000;0.000;0.000
87247;24.9;26.25;0.000;0.000;0.000;0.000;0.000
87347;25.0;26.25;0.000;0.000;0.000;0.000;0.000
87447;25.0;26.25;0.000;0.000;0.000;0.000;0.000
87547;25.0;26.25;0.000;0.000;0.000;0.000;0.000
87647;25.0;26.25;0.000;0.000;0.000;0.000;0.000
87747;25.0;26.25;0.000;0.000;0.000;0.000;0.000
87847;25.0;26.25;0.000;0.000;0.000;0.000;0.000
87947;25.0;26.25;0.000;0.000;0.000;0.000;0.000
88047;25.0;26.25;0.000;0.000;0.000;0.000;0.000
88147;25.0;26.25;0.000;0.000;0.000;0.000;0.000
88247;25.0;26.25;0.000;0.000;0.000;0.000;0.000
88347;25.0;26.25;0.000;0.000;0.000;0.000;0.000
88447;25.0;26.25;0.000;0.000;0.000;0.000;0.000
88547;25.0;26.25;0.000;0.000;0.000;0.000;0.000
88647;25.0;26.25;0.000;0.000;0.000;0.000;0.000
88747;25.0;26.25;0.000;0.000;0.000;0.000;0.000
88847;25.0;26.25;0.000;0.000;0.000;0.000;0.000
88947;25.0;26.25;0.000;0.000;0.000;0.000;0.000
89047;24.9;26.25;0.000;0.000;0.000;0.000;0.000
89147;24.9;26.25;0.000;0.000;0.000;0.000;0.000
89247;24.9;26.25;0.000;0.000;0.000;0.000;0.000
89347;24.9;26.25;0.000;0.000;0.000;0.000;0.000
89447;24.9;26.25;0.000;0.000;0.000;0.000;0.000
89547;24.9;26.25;0.000;0.000;0.000;0.000;0.000
89647;24.9;26.25;0.000;0.000;0.000;0.000;0.000
89747;24.9;26.25;0.000;0.000;0.000;0.000;0.000
89847;25.0;26.25;0.000;0.000;0.000;0.000;0.000
89947;25.0;26.25;0.000;0.000;0.000;0.000;0.000
90047;25.1;26.25;0.000;0.000;0.000;0.000;0.000
90147;25.1;26.25;0.000;0.000;0.000;0.000;0.000
90247;25.1;26.25;0.000;0.000;0.000;0.000;0.000
90347;25.0;26.25;0.000;0.000;0.000;0.000;0.000
90447;25.0;26.25;0.000;0.000;0.000;0.000;0.000
90547;24.9;26.25;0.000;0.000;0.000;0.000;0.000
90647;24.9;26.25;0.000;0.000;0.000;0.000;0.000
90747;24.9;26.25;0.000;0.000;0.000;0.000;0.000
90847;25.0;26.25;0.000;0.000;0.000;0.000;0.000
90947;25.0;26.25;0.000;0.000;0.000;0.000;0.000
91047;24.9;26.25;0.000;0.000;0.000;0.000;0.000
91147;24.9;26.25;0.000;0.000;0.000;0.000;0.000
91247;24.9;26.25;0.000;0.000;0.000;0.000;0.000
91347;24.9;26.25;0.000;0.000;0.000;0.000;0.000
91447;24.9;26.25;0.000;0.000;0.000;0.000;0.000
91547;24.9;26.25;0.000;0.000;0.000;0.000;0.000
91647;24.9;26.25;0.000;0.000;0.000;0.000;0.000
91747;24.9;26.25;0.000;0.000;0.000;0.000;0.000
91847;24.9;26.25;0.000;0.000;0.000;0.000;0.000
91947;24.9;26.25;0.000;0.000;0.000;0.000;0.000
92047;25.0;26.25;0.000;0.000;0.000;0.000;0.000
92147;25.0;26.25;0.000;0.000;0.000;0.000;0.000
92247;25.0;26.25;0.000;0.000;0.000;0.000;0.000
92347;25.0;26.25;0.000;0.000;0.000;0.000;0.000
92447;25.0;26.25;0.000;0.000;0.000;0.000;0.000
92547;25.0;26.25;0.000;0.000;0.000;0.000;0.000
92647;25.0;26.25;0.000;0.000;0.000;0.000;0.000
92747;25.0;26.25;0.000;0.000;0.000;0.000;0.000
92847;25.0;26.25;0.000;0.000;0.000;0.000;0.000
92947;25.0;26.25;0.000;0.000;0.000;0.000;0.000
93047;25.0;26.25;0.000;0.000;0.000;0.000;0.000
93147;25.0;26.25;0.000;0.000;0.000;0.000;0.000
93247;25.0;26.25;0.000;0.000;0.000;0.000;0.000
93347;24.9;26.25;0.000;0.000;0.000;0.000;0.000
